parent_node,child_node,relation_type
root,Node2,A
Node2,Node3,A
Node3,Node5,A
Node5,Node9,A
Node9,Node11,A
Node11,Node12,A
Node12,Node13,A
Node13,Node8,E
Node7,Node8,R
Node8,Node14,E
Node13,Node14,R
Node9,Node18,E
Node7,Node18,R
Node9,Node15,A
Node15,Node19,R
Node8,Node19,E
Node19,Node1,R
Node14,Node1,E
Node1,Node20,M
Node9,Node22,E
Node12,Node22,R
Node22,Node21,E
Node15,Node21,R
Node20,Node10,O
Node20,Node26,O
Node26,Node17,E
Node6,Node17,R
Node9,Node16,E
Node11,Node16,R
Node17,Node7,E
Node8,Node7,R
Node7,Node29,A
Node29,Node27,R
Node15,Node27,E
Node27,Node30,O
Node30,Node32,E
Node26,Node32,R
Node32,Node33,M
Node2,Node23,A
Node23,Node34,R
Node31,Node34,E
Node8,Node35,A
Node22,Node24,E
Node5,Node24,R
Node24,Node31,A
Node31,Node36,R
Node17,Node36,E
Node31,Node28,R
Node10,Node28,E
Node28,Node39,O
Node12,Node37,E
Node7,Node37,R
Node37,Node25,O
Node9,Node40,E
Node21,Node40,R
Node7,Node6,R
Node28,Node6,E
Node20,Node43,O
Node43,Node45,M
Node25,Node46,M
Node46,Node50,O
Node50,Node51,R
Node19,Node51,E
Node51,Node52,E
Node14,Node52,R
Node46,Node53,O
Node36,Node41,E
Node8,Node41,R
Node16,Node49,star
Node35,Node44,E
Node51,Node44,R
Node44,Node54,O
Node30,Node4,R
Node31,Node4,E
Node4,Node55,R
Node52,Node55,E
Node40,Node56,R
Node2,Node56,E
Node56,Node57,star
Node14,Node58,O
Node58,Node59,O
Node44,Node60,R
Node35,Node60,E
Node15,Node62,R
Node11,Node62,E
Node39,Node63,M
Node13,Node38,R
Node5,Node38,E
Node9,Node64,A
Node64,Node66,R
Node54,Node66,E
Node4,Node67,R
Node51,Node67,E
Node24,Node70,A
Node12,Node73,R
Node40,Node73,E
Node44,Node71,R
Node14,Node71,E
Node36,Node74,R
Node67,Node74,E
Node55,Node75,A
Node75,Node76,A
Node76,Node77,R
Node28,Node77,E
Node15,Node78,R
Node59,Node78,E
Node78,Node79,R
Node62,Node79,E
Node44,Node81,R
Node77,Node81,E
Node75,Node68,R
Node79,Node68,E
Node68,Node82,E
Node73,Node82,R
Node56,Node84,star
Node79,Node85,E
Node14,Node85,R
Node85,Node86,A
Node12,Node87,R
Node16,Node87,E
Node6,Node65,O
Node65,Node88,E
Node87,Node88,R
Node5,Node89,E
Node27,Node89,R
Node89,Node90,M
Node90,Node91,O
Node91,Node92,E
Node4,Node92,R
Node50,Node94,O
Node94,Node95,E
Node86,Node95,R
Node95,Node96,R
Node62,Node96,E
Node96,Node97,R
Node76,Node97,E
Node82,Node98,O
Node98,Node99,R
Node77,Node99,E
Node85,Node100,R
Node82,Node100,E
Node100,Node101,star
Node101,Node102,R
Node24,Node102,E
Node17,Node103,star
Node5,Node104,A
Node58,Node106,E
Node62,Node106,R
Node10,Node107,R
Node62,Node107,E
Node23,Node108,E
Node84,Node108,R
Node51,Node109,E
Node65,Node109,R
Node14,Node110,R
Node107,Node110,E
Node67,Node111,R
Node5,Node111,E
Node31,Node113,E
Node57,Node113,R
Node113,Node114,O
Node114,Node93,O
Node93,Node115,E
Node74,Node115,R
Node6,Node117,R
Node104,Node117,E
Node65,Node118,E
Node59,Node118,R
Node30,Node116,R
Node100,Node116,E
Node29,Node121,A
Node86,Node122,A
Node122,Node123,E
Node121,Node123,R
Node45,Node124,M
Node51,Node126,R
Node67,Node126,E
Node126,Node120,R
Node101,Node120,E
Node100,Node127,R
Node14,Node127,E
Node127,Node128,O
Node52,Node42,star
Node42,Node129,star
Node84,Node133,star
Node13,Node136,E
Node78,Node136,R
Node11,Node138,R
Node58,Node138,E
Node38,Node112,A
Node26,Node143,O
Node143,Node135,R
Node37,Node135,E
Node1,Node144,M
Node144,Node145,M
Node110,Node132,R
Node138,Node132,E
Node132,Node105,O
Node53,Node146,R
Node94,Node146,E
Node89,Node148,O
Node100,Node47,E
Node132,Node47,R
Node96,Node149,star
Node149,Node69,star
Node69,Node48,E
Node76,Node48,R
Node1,Node125,M
Node44,Node155,R
Node68,Node155,E
Node155,Node156,M
Node14,Node158,R
Node7,Node158,E
